,日期,标题,阅读量,链接
57,03.23(周二),期待! 「理大云讲堂」云集星级教授   招生最新资讯,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900257&idx=1&sn=73e2a3be90b80510cc7dcb8af3253706&chksm=8f5cd454b82b5d42652d9b9656d1d87b5feb9b521e11fe4896b2621d9b24f5907b9a8ca73e21#rd
58,03.19(周五),理大的杜鹃开好了，等你来！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900185&idx=1&sn=5e401e1534f9a0bcc04d1940c970687d&chksm=8f5cd42cb82b5d3a84df6b4e6e25dc955aafc1faffb8ce8021e99442815fd57087edf73a9507#rd
59,03.19(周五),这门课，爆款，选它！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900185&idx=2&sn=b30f6ff49fbfd97e8fc6dfdc960e161e&chksm=8f5cd42cb82b5d3a7d3095715dd843981ac11be0f9d1a71dea650441705c764ac182f06d5fd0#rd
60,03.17(周三),3.18约定你! 来了解世界二十强 设计学院课程特色,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900183&idx=1&sn=6e2f535e9976913a291d782aab52327a&chksm=8f5cd422b82b5d345bbd0e8deb10bbcd26e770a6eea6898f5d47bf20a4eafaafec0f605986d9#rd
61,03.16(周二),艺术家后人 在理大城堡 好棒又感动的梦想之旅,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900142&idx=1&sn=ad990a15cffbb548943b5cb57cd5bafb&chksm=8f5cd4dbb82b5dcdefc553a94ffe663da09e082f0d35720ca4d26d83cc2be3299470cf151b24#rd
62,03.12(周五),来收藏! 超实用申请攻略!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900133&idx=1&sn=f1c2bf7db87a7d98800e68bcd06cc627&chksm=8f5cd4d0b82b5dc6f479ca6d455fca18bcfd44bc08719f9ddbd4d509256593a47865fa16c3e3#rd
63,03.10(周三),优秀! 医疗科学专业 来吸收学长学姐的学习经验吧!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900075&idx=1&sn=b3bbe23bdca89326eebc0dee19c251cc&chksm=8f5cd49eb82b5d88f7b2c1ad156dc228308c0cd2e770fe2d5b5b108d762210ff67dc7ef7fac1#rd
64,03.08(周一),3月11日! 招生说明会 医疗及社会科学院 专业课程获认可,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900043&idx=1&sn=899851befaa4e41068bc058b58dab0a9&chksm=8f5cd4beb82b5da8d906e6febd9025938ab37210c922477ab30bf3b684f67b9e56ad637eed00#rd
65,03.03(周三),出路理想! 我从事法律 我从事金融 我们是人文学院的毕业生!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900015&idx=1&sn=8d8ba21313ca245cb329697b77540de0&chksm=8f5cd35ab82b5a4cdf9d33b01431da95455e0c3de122e9df7a5e238a8427450e8e5e120ccb40#rd
66,03.02(周二),本周四!  来参加本月首场招生说明会!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649900007&idx=1&sn=490b05482f58b68ffc3edc7dbc854e68&chksm=8f5cd352b82b5a441ba168ddf3b084dc42530e515809db05944fb5abfcffc8803eef75b33f39#rd
67,02.27(周六),手把手教你  本科课程网上申请系统示范,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899981&idx=1&sn=e213557bcfa4a284577dbd216339578e&chksm=8f5cd378b82b5a6e26ff40ab9e3ff64102d52b29c262cd2ebd80095367f022cdb0a231ae45e1#rd
68,02.27(周六),高考倒计时100天! 与你同行 乘风破浪 加油吧少年！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899980&idx=1&sn=71f9209bf7ba813d2dfbd56ed63c98b7&chksm=8f5cd379b82b5a6fa4c8e1136838d76028963449213783ba95ff8bae958501d4f7f1bcfa7728#rd
69,02.26(周五),又一国际奖项花落理大！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899975&idx=1&sn=c6ce90bb9353cf8f72d7320f36876e2f&chksm=8f5cd372b82b5a6469f4b8b8f6b46adf25d2c81420d9ff7f227023bdf4246a1102a067b66bc0#rd
70,02.23(周二),国际生Michelle  最难忘到初创公司实习,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899971&idx=1&sn=75e5dbc452e30ad21bcbab49c86aee45&chksm=8f5cd376b82b5a601cf91ff70713f9053f858a58ecfa3f6bc836883df46759d06f7684b58cfe#rd
71,02.19(周五),把握机会!  八大学院招生说明会 3月开始,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899970&idx=1&sn=0a050f385bb355be696d2e4d0728b811&chksm=8f5cd377b82b5a61f563518df15e24ce355ff9248e828bcaf9c920e42d1a6b68c1cd0c386cc8#rd
72,02.11(周四),2021新年快乐  HAPPY ”牛“ YEAR！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899915&idx=1&sn=4ee5d23c843fccd94f2871b739463284&chksm=8f5cd33eb82b5a287f4e4985ea349880079ef25dd9aed3479c39893dec5ada9ebcd448769cc3#rd
73,02.09(周二),用数学分析爱情电影? 来自广东的嘉贤 难忘的学习经验,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899893&idx=1&sn=a28b68bbeaef87de1ace4d7f1cd5d26d&chksm=8f5cd3c0b82b5ad60f1738223fe2b4898e603b289c58c877ceb5615666ace2748783cfb965d0#rd
74,02.08(周一),“理大红”表情包上线！拜年不如来斗图~,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899892&idx=1&sn=ce028cd8262104a6d9f3cbf376684e09&chksm=8f5cd3c1b82b5ad7193215276f050cfc7c36b51dab059c57bea0ef932e68264355a0a377d488#rd
75,02.05(周五),难得一看! 走进理大方程式车队的秘密空间…,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899890&idx=1&sn=aa50c9fc3bb17c77b7efe2bf4e2cd156&chksm=8f5cd3c7b82b5ad13b1f381bb18c68b1a6e8f3d64e118435b968f97694d6459fff4271d89c81#rd
76,02.03(周三),专访 | 滕锦光校长：能参与国家航天项目非常有意义,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899888&idx=1&sn=c0b0731e39c4e559fe4c3a419a142ecc&chksm=8f5cd3c5b82b5ad30e90a3ae9104c0dcac433733c88748d87954e6a5d494bcae4e15dbf1ac37#rd
77,02.02(周二),"快来关注, 实用面试贴士!",-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899866&idx=1&sn=ba82887af3e0f84e7c9b2e503121a7fe&chksm=8f5cd3efb82b5af9c227ddd16a3e4d895ca417acd4f5d14ea3121a6ca1e1e6fb7ccdbf8c3441#rd
78,01.28(周四),【线上讲座】中文及双语学系授课式硕士课程  助您于事业大放异彩！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899828&idx=1&sn=6bc5b5f3da9b306ba0e11af8b4fc03fa&chksm=8f5cd381b82b5a9780a17b918767a073c9731a81b2aae274bb621abe3ff7b5769dde51e59e44#rd
79,01.28(周四),不在实验室里也能做实验？亚洲首个远距离“遥控”实验室落地理大！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899828&idx=2&sn=9e0dc002fc61acdfb5355e136f065be3&chksm=8f5cd381b82b5a97d0e82478921e68b9896480bc5b51803d1f963ca4cb68d73c0ea5d13d3761#rd
80,01.27(周三),速看! 想报读工程学院课程? 来看看两位优秀同学的分享!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899800&idx=1&sn=9f6ec0a63d9f74460275dbf504c0938d&chksm=8f5cd3adb82b5abb2f18ad4fe1a47bac96817f6599a46b3729919d7f171d4e6d3311a80854d3#rd
81,01.26(周二),我掐指一算，你的假期还缺它！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899760&idx=1&sn=f10ad3c771bc0a7e33d25d99a3152703&chksm=8f5cd245b82b5b5301a3808f83dd27d4e70bb3de3c8bef943f85e5cc35253dd5f4f974f9f2d6#rd
82,01.25(周一),1月28日! 招生说明会 工程学院 专业应用实力强,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899743&idx=1&sn=a9639e0dbfba6ed79006d623a9abbec7&chksm=8f5cd26ab82b5b7c1a457eb7c7b41ed223d4a4ea6a36b5e4ccf113b5a80f5914d6c594d49e15#rd
83,01.22(周五),学生分享| 难忘学习冲泡咖啡 在酒店实习的难得机会,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899711&idx=1&sn=1ece67172b6218707c197f35600e5820&chksm=8f5cd20ab82b5b1ca6bc1040888ff20f3808e848636dedd0807c47a3f96fa7953c0f4504ad5d#rd
84,01.20(周三),学生+优秀运动员: 理大新生代是怎样“炼”成的？,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899664&idx=1&sn=61827251793436eaa942697ac87d09b7&chksm=8f5cd225b82b5b33cd2fff386176c24d459d0dc8530adcb0d8038528dc7d489f3fa66d1f0bd3#rd
85,01.18(周一),1月21日诚邀你来! 招生说明会 建设及环境学院,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899662&idx=1&sn=43ef121273fb15146e25564e28905980&chksm=8f5cd23bb82b5b2ddcd035d85d38f05ec6d9d22bd02563f61e26beec0ba9d19076369510e0e0#rd
86,01.15(周五),好消息! 理大快速测试系统 位列2020年度十大创科新闻榜首！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899618&idx=1&sn=a1157b48654e192a09d4ea1388f06254&chksm=8f5cd2d7b82b5bc1b8e888a744af20f3ee153cd7f7358f645e1b88cacce382cce0212879bc2c#rd
87,01.15(周五),【活动预告】理大校友“与校长对话” 加开一场,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899618&idx=2&sn=c44a9bc9064ae5da83927f29528e011a&chksm=8f5cd2d7b82b5bc18d24205ec1d5852d27b07bb600bd98dc4c563d21dfe8b43e6f299f1b929b#rd
88,01.13(周三),申请Q&A： 我可以报读两个课程吗？ 是否只接受理科生报读？,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899593&idx=1&sn=6991ef33cc67d66cc3a762eacc53077f&chksm=8f5cd2fcb82b5beae651bfc29cd13fbf7df17da8565e970422e08d2d2fdb1e866233457e2ea6#rd
89,01.11(周一),立刻报名！1月14日内地招生说明会 工管课程很火！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899567&idx=1&sn=77e213d4663adf1474cbac0f5a6543dc&chksm=8f5cd29ab82b5b8c5fa8d0baac8e8792f6b94a6426d642eb6e018305ac7a0dd4ef08a6a94148#rd
90,01.11(周一),理人理事 | 登山徒步 活出真我：牛耕,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899567&idx=2&sn=ee9c67f1d18a468e642119a86af6b875&chksm=8f5cd29ab82b5b8cd04cbebeb6c777d3104a1419eba3254331b7ffda12ae584b24c8eb6bbc8e#rd
91,01.08(周五),看！哈萨克女孩Sara@理大的高光时刻,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899539&idx=1&sn=ac520cf274859331f5df6254ed6b3d6d&chksm=8f5cd2a6b82b5bb02ee785e5dd03b715debdf4c244ce0e4988d8b21abb1fd7d2bdd47e4c2192#rd
92,01.06(周三),【活动回顾】与校长对话,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899517&idx=1&sn=19c5fbfb9d094a7b17c6659a14dee2b2&chksm=8f5cd148b82b585ee06bf4e748ee06ec9c53926b9f3242c4e1f785d16c69372f362dfcd75547#rd
93,01.06(周三),明天下午5时! 2021年首场内地招生说明会 等你来,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899517&idx=2&sn=a9b1a4f59d5dfc3c7c1a947b78f0e345&chksm=8f5cd148b82b585e330de4a036bfcc3a2390d99ee27710cdbf30bc795e1f07ef54745f486bb7#rd
94,01.04(周一),约定你 在线见！ 1月9日  授课式深造课程资讯日,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899501&idx=1&sn=1e3ee1f3a8490e7c273e04b16819db43&chksm=8f5cd158b82b584eae249df49cf9ce296aa26c81ba92189ade666d41e58064ddec2db40d29fc#rd
95,12.31(周四),2020 再见… 2021 您好!,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899417&idx=1&sn=2cc2e8451e789049accdb008d5b3b7a3&chksm=8f5cd12cb82b583a91259a20c77688f17abad27fca396bf63425af58d5c6027307eb42fe8c86#rd
96,12.30(周三),本科课程入读攻略! 八大学院  明年1月7日开始 线上招生说明会,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899357&idx=1&sn=9a793b90eba9f063326a0e52803a0318&chksm=8f5cd1e8b82b58fe11cf32c7132e0487ab94287603b6df9f29687df67ccd65aa0f8dcc2a9710#rd
97,12.28(周一),本科课程介绍| 酒店及旅游业管理学院 世界顶尖学府,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899312&idx=1&sn=1b05f7f12b82bc9c67473439207cc11c&chksm=8f5cd185b82b58930a8866013d3013d76ce596fa4df6794cc6fb565fc03c5357a5b51e48d276#rd
98,12.24(周四),火速报名！1月9日 授课式深造课程资讯日,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899311&idx=1&sn=14d2669971878391ad8a332bdaf85153&chksm=8f5cd19ab82b588c22be8ff559ee7651675e431c87ca3168e884c5234058e5f8c41ca0407789#rd
99,12.24(周四),火速报名！1月9日 授课式深造课程资讯日,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899310&idx=1&sn=48ad2196117a2fd9fce140da7a065671&chksm=8f5cd19bb82b588d3cbe48a3775763aa80f6b3b36268240121d9c8b93e2b2107c9bd48be5696#rd
100,12.24(周四),"今天是圣诞节, 2021年亦快要来临，你会许下什么愿望？",-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899308&idx=1&sn=9f06b6f4f2c142a2eb781f5d2b671320&chksm=8f5cd199b82b588f3123fa9c61d2faeac1514fe61497cf0a7f1c18da96894e57c71f1abe715b#rd
101,12.23(周三),【活动预告】理大校友“与校长对话”,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899244&idx=1&sn=2235a46a57df04caae9cccbeb29785c9&chksm=8f5cd059b82b594f1df203c1bda113faf0131d7c752c01f40d4ddc4b482660b835dbd19927fe#rd
102,12.22(周二),假期做了这件事，大学才不算虚度！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899217&idx=1&sn=21928cb8392b2b1278c193ab7c86a25d&chksm=8f5cd064b82b5972bba161356b2ef8f938f2045f5d5a9daf211a0f739eb16aa942923e2f1d4a#rd
103,12.21(周一),本科课程介绍| 设计学院  “艺术与设计”专业 全球第15位,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899195&idx=1&sn=57b7e0c9e913cfcafd9b0d25e770fb5b&chksm=8f5cd00eb82b59189b683ff5cf44486ba28b4f2114082ccd6ed37c7f9c71cbb6b7a0f8be2a12#rd
104,12.18(周五),应用数学硕士课程 现接受2021/22年度入学申请,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899192&idx=1&sn=d2a65b94469ef194c1493c9d883b43e2&chksm=8f5cd00db82b591bfc201f9ca4b7491b65af9c706eed37d051e65831b69829fbfbfb26275eee#rd
105,12.17(周四),恭喜! 理大学生憑創新意念 遠大志向 榮獲校外奬學金,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899185&idx=1&sn=466b7442c75f8a30b983313cda8b2544&chksm=8f5cd004b82b5912a0327abb69c2e274585ccfb07a55eef7d1f6c5111cc7e8a6a342b1dde040#rd
106,12.17(周四),理大宣布颁授荣誉博士学位予史美伦女士、许宁生院士与钟南山院士,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899185&idx=2&sn=f68cf8ced881c6cc504137a1293b56ee&chksm=8f5cd004b82b591210163d8b68e2b98fea3ca0af22d60d561a6e92467553f71dfdf994592d0e#rd
107,12.15(周二),本科课程介绍| 医疗及社会科学院 优质独有课程,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899133&idx=1&sn=b9b3f5115d318ed93b68b0d5b92d4efa&chksm=8f5cd0c8b82b59de21d1d3aa49022530500c8db54c3ab3c5b9dd821191b35499f2e37c1a7cf4#rd
108,12.15(周二),理大护理学院再获世卫组织任命！,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899133&idx=2&sn=eae928dc692d326119e8dee48968679a&chksm=8f5cd0c8b82b59de0ddb85fcd412d5916b90ad3dbf5e2de0da259cf3c0b2ee45027b4d2b0369#rd
109,12.15(周二),又是第一！香港首个由大学创办的职业治疗中心落地理大,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899133&idx=3&sn=c9881fcecd7491ad0a46efcb2388bc5c&chksm=8f5cd0c8b82b59de510f63745c0e6edcfa8d94a52477dc25f475e879f886c0913a720daf4b8b#rd
110,12.13(周日),一文尽览！招生视频 简章及活动 申请课程要点,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899132&idx=1&sn=d283404de73dc8958438c0a4646a3ca5&chksm=8f5cd0c9b82b59dfbd7e0d9e454ae570fdb7b8fe6a534413f1b2d92e044f05ef33fc9294d5dc#rd
111,12.11(周五),梦想成真！抓緊4年学习契机 來自山東的倪睿妍成功了⋯,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649899119&idx=1&sn=6f6f6f78645f8a7e71b5fea7e5f1e2a3&chksm=8f5cd0dab82b59cc5154721177da5ea5ce6c9c2e4672b9dbc4c7ea551aa6c73e9183de0c6213#rd
112,12.08(周二),就在今天！ 个人咨询来咯 ! 一对一在线交流  为你解答申请疑问,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649898971&idx=1&sn=942a09af4274cb40b18c0294f4a8f3c6&chksm=8f5caf6eb82b267886b79ea334081903a69a8aa996462919d157727b1e2de7fd2ebd71a0fef9#rd
113,12.07(周一),本科课程介绍| 人文学院 语言学全球第45位 学院提供奖学金,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649898911&idx=1&sn=184e7013afa660a50b874570a6b6b7a9&chksm=8f5caf2ab82b263c8b7df32d79286b6f0dddd4b420f745299fa2a14c6f10fdb958660ed44ea3#rd
114,12.04(周五),【理大启迪系列】什么是“时空智能”？--北斗卫星导航系统与你的生活,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649898880&idx=1&sn=0b2dacaf6789dbd9458cf4bc04a50fce&chksm=8f5caf35b82b262353293327c450f84fe2a64e5fd1209d04e72e1e68188811da1d9636aa3960#rd
115,12.04(周五),卓越校友| 超群拔萃 年轻有为 來听听他們成功的故事,-1,http://mp.weixin.qq.com/s?__biz=MzIxMTExODU1NA==&mid=2649898795&idx=1&sn=6d4426255b2c7ccc78db4b5f77524a1f&chksm=8f5caf9eb82b2688e06bc3c754e95dbebd56819ecba1932f401513a052c5850e799f2f058dc7#rd
